"","FTA","2PA","3PA"
"224",2.7,7.4,5.4
"225",2.9,7.7,5
"226",0.5,2.3,6.1
"227",1.8,5.5,3
"228",4.1,13.3,5.7
"229",3.9,9,3.6
"230",5,13.5,5
"231",6.5,15.1,3.7
"232",4.3,15.1,0.7
"233",2.4,3.8,4.7
"234",1.9,7.3,4
"235",1.7,9.5,3.5
"236",1.8,8.2,3.8
"237",3.2,6.6,6.2
"238",3.3,5.7,6.7
"239",3.2,6.2,6.4
"240",2.4,5.4,3.3
"241",2.4,7.7,0.9
"242",1.8,4,4.2
"243",2.6,6.8,2.6
"244",1.6,7.8,3.9
"245",2,7.1,4.3
"246",1.9,7.3,4.2
"247",1.3,8,3.3
"248",4.6,9.2,3.8
"249",2.9,8.6,3.6
"250",2.2,8.4,4.4
"251",2.7,7.2,3
"252",1,4.5,6.7
"253",3.9,10.7,1.7
"254",2,3,8.1
"255",4,9.9,2.7
"256",2.5,6.5,3.3
"257",8.6,7,0
"258",3.1,8.4,1.9
"259",1,12.5,1.3
"260",3.1,6.8,4.3
"261",5.3,14.6,0.4
"262",2.5,3.3,3.3
"263",4.1,8.6,2.8
"264",5.1,9.5,1.2
"265",4,10.2,6.5
"266",3.5,1.8,7.5
"267",3.9,9.1,6.7
"268",3.5,10.5,6.8
"269",0.8,3.3,6
"270",2.6,9.7,5.3
"271",5.8,15,0.8
"272",2.2,8.1,2.2
"273",2.4,11.3,1.8
"274",3.2,10.1,5
"275",0.9,8.1,2.1
"276",2.4,5.9,2.9
"277",2.2,6.3,2.8
"278",1.1,6,3.4
"279",2.2,6.8,3.3
"280",1.8,6.5,3.3
"281",3.9,14.6,0.1
"282",3.7,13.3,0
"283",4.7,12.2,0.1
"284",5.1,12.1,4.4
"285",1.2,5.6,6.2
"286",2.9,10.2,3.2
"287",6.2,11.6,8.2
"288",5.1,8.8,4
"289",2.2,8.7,0.3
"290",5.9,16.7,0.2
"291",2.6,10.7,0
"292",4.7,8,6.5
"293",6.2,8.2,6.9
"294",2.1,8,3.3
"295",2,9.1,4
"296",2.4,13.7,5.4
"297",2.1,9.9,4.3
"298",3.5,5.6,4.6
"299",1.2,6.2,4.4
"300",5.9,10.8,0.2
"301",4.1,7.2,4.6
"302",6.1,10,4.4
"303",5.7,9.3,4.5
"304",2,4.5,7.1
"305",1.3,5.3,5.4
"306",1.6,4.7,1.1
"307",6.7,11.3,0.3
"308",0.8,8.7,4.3
"309",1.4,7.2,2.3
"310",1.1,7.9,3.2
"311",2.9,12.4,6.1
"312",0.9,8.4,2
"313",2.3,7.5,3.4
"314",4.6,7.2,3.8
"315",1.6,7.4,5
"316",5,9.5,2
"317",3.5,12.9,0.1
"318",2.6,6.7,4.6
"319",4.1,13.1,3.5
"320",6.6,6.6,4.8
"321",5.2,10.3,4.1
"322",2.4,6,3
"323",3.3,9.2,7.5
"324",4.2,7,0.1
"325",3.9,9.9,4.6
"326",3,6.1,9.5
"327",2.6,8.8,0.8
"328",2.4,6.9,0.5
"329",2.5,7.7,0.6
"330",1.3,6.3,6.9
"331",3.7,5.6,2.5
"332",5.5,11.3,3.2
"333",4,5.8,7.6
"334",4.8,14.6,0
"335",3.4,8.6,7.7
"336",1,8.1,3
"337",3.4,8.2,3.8
"338",2.8,10.5,4
"339",3.6,13.9,3
"340",3.2,12.4,3.4
"341",1.5,5,7.9
"342",3.5,9.7,3.8
"343",2.6,9.6,0.2
"344",3.6,11.7,4
